Id	text	user_location
131	dengar harga sinovac beli kota lebih mahal vaksin astrazeneca hasil lebih baik vaksin sinovac harga lebih murah beli banyak sinovac jangan vaksin korupsi	Bandung, Jawa Barat
132	nyata fakta vaksin lapar banget	Bandung, Jawa Barat
133	entah apa tuju vaksinasi al qur an justru turun derajat al qur an sendiri benar vaksin bahaya tubuh aman kalau vaksin al qur an arti alquran bahaya hmmmm	Bandung, Jawa Barat
134	tunggang tinggi angka mati vaksin bukan covid sembunyi	Bandung, Jawa Barat
135	nah aneh sekarang sinovac masuk syarat mudah umroh perintah solusi jangan vaksin tiga walaupun bayar	Bandung, Jawa Barat
136	sekarang loker mulai sertifikat sertifikat	Bandung, Jawa Barat
137	kalau vaksin jual perlu sini kalau lebih baik usah dulu ah banyak ibadah khitan laku tanah air	Bandung, Jawa Barat
138	hancur china usir china gagal vaksinasi covid revolusi tindak kriminal	Bandung, Jawa Barat
139	umrah buka vaksin sinovac jadi salah satu syarat umroh bagaimana orang vaksin tambah	Bandung, Jawa Barat
140	vaksin tidur	Bandung, Jawa Barat
141	baik vaksin gamau	Bandung, Jawa Barat
142	hebat banget punya ipar paham betul konspirasi covid chip vaksin prediksi	Bandung, Jawa Barat
143	vaksin begadang fajar vaksin lambat efek bagus haha coba	Bandung, Jawa Barat
144	pesan karang bunga rendah masyarakat mulai patuh prosedur sehat ikut anjur perintah vaksin banyak tinggal lebih lolos seleksi alam	Bandung, Jawa Barat
145	dok benar minum air kelapa netral vaksin kemarin vaksin selesai banyak teman teman minum air kelapa	Bandung, Jawa Barat
146	kabid humas polda jabar polri bekerjasama beberapa pihak gelar vaksinasi cara serentak	Bandung, Jawa Barat
147	dok ayo vaksin biar imun tubuh bentuk cara random netizens vaksin bikin badan lemas aku baru vaksin esok hari jadi sakit sakit demam mual orang indonesia percaya cara acak netizens	Bandung, Jawa Barat
148	ibadah sunnah pergi sang cipta bang sembah agen sponsor vaksin covid global	Bandung, Jawa Barat
149	jurnal bahaya mati akibat obat obat bahkan covid sembarang vaksin capai tingkat herd immunity taiccats obat obat sekarang hilang lihat dongeng orang orang milik coba hidup orang orang	Bandung, Jawa Barat
150	vaksin jamin vaksinasi kali kali satu satu cara kuat sistem kebal tubuh	Bandung, Jawa Barat
151	lalu bagaimana cara kerja vaksin	Bandung, Jawa Barat
152	keluar kota sangat butuh kartu vaksin kerja sering luar kota sangat butuh kakak vaksin asli kerja vaksin jadi	Bandung, Jawa Barat
153	innalillahi rp biaya vaksinasi sayang kimia farma bayar fotocopy ktp tetangga hehehe ayo	Bandung, Jawa Barat
154	lol baru tahu gerd komorbiditas tepat vaksin lama minggu	Bandung, Jawa Barat
155	lihat banyak masyarakat indonesia mau vaksin banyak masyarakat milik protokol sehat baik benar proposal bisnis tarik tambah masa sulit bisnis buket bunga	Bandung, Jawa Barat
156	jadi gimana abi padahal baru mau vaksin	Bandung, Jawa Barat, Indonesia
157	vaksin bismillah pertama kali mudah sehat terima kasih amin	Bandung, West Java
158	gan coba hubung nomor rumah sakit sedia vaksin	Bandung, West Java, Indonesia
159	payudara cewe suntik vaksin covid kalau burung cewe tumbuh lewat	Bandung, West Java, Indonesia
160	kok ironis kemarin tetangga baru umum puluh pusat vaksinasi pusat kapasitas jangan kira gap	Bandung, indonesia
161	ambil vaksin	Bandung,ID
162	kemarin vaksinasi rs rotinsulu bandung bawa apa apa bawa badan bawa sedekah	Bandung,Indonesia
163	nyonya minta selenggara vaksinasi lapang sulit warga wajib fotokopi e ktp vaksinasi	Bandung,Indonesia
164	vaksinasi rata rata        orang minggu akhir target vaksinasi capai tengah februari	Bandung-PLTU Palabuhan Ratu
165	terkadang puskesmas sakit kontrol beberapa kasus vaksin jatuh sakit	Bangkalan
166	vaksinasi dosis pertama	Bangkalan
167	pagi pagi kurang satu vaksin kak besok pas mau vaksin moga jadi cara ikhtiar masa pandemi	Bangkalan
168	pagi tweeps gimana lengkap vaksin sertifikat bukan vaksin laksana pon papua xx perintah cepat vaksinasi atlet latih meminimalisir sebar tular covid	Bangkalan
169	memang banyak kasus pihak kait olah abai bukti teliti bahkan tanggung jawab atas jadi sebut jadi masyarakat takut vaksin takut jadi tikus lab	Bangkalan, Indonesia
170	alam wajar orang takut jangan kata sedikit hoax tuding selidik lebih media sendiri tetap rekomendasi vaksin masalah corona reda jadi normal	Bangkalan, Indonesia
171	madura banyak masyarakat tolak vaksin bukan salah informasi media sosial memang beberapa kasus orang lumpuh vaksin padahal sehat bugar sama tolak obat sakit	Bangkalan, Indonesia
